Key,Key Description,Type,Source,Parent
AFU,,STRING,,unspecified
AI,,STRING,,unspecified
AU/ml,,STRING,,unspecified
DKunits/ml,,STRING,,unspecified
HAU,,STRING,,unspecified
IU,,STRING,,unspecified
IU/ml,,STRING,,unspecified
KallikreinInactivatorUnitperMilliliter,,STRING,,unspecified
M,,STRING,,unspecified
MOI,,STRING,,unspecified
NPX,,STRING,,unspecified
NotSpecified,,STRING,,unspecified
OtherLensVoltagesUnit,,STRING,,unspecified
PFU,,STRING,,unspecified
PFUe,,STRING,,unspecified
Pound,,STRING,,unspecified
TCID50,,STRING,,unspecified
bpg/dl,,STRING,,unspecified
g/l,,STRING,,unspecified
gm,,STRING,,unspecified
iu/l,,STRING,,unspecified
kg,,STRING,,unspecified
l,,STRING,,unspecified
mM,,STRING,,unspecified
mg,,STRING,,unspecified
mg/dl,,STRING,,unspecified
mg/l,,STRING,,unspecified
mg/ml,,STRING,,unspecified
miu/ml,,STRING,,unspecified
ml,,STRING,,unspecified
nM,,STRING,,unspecified
ng,,STRING,,unspecified
ng/dl,,STRING,,unspecified
ng/ml,,STRING,,unspecified
ng/nl,,STRING,,unspecified
ng/ul,,STRING,,unspecified
nl,,STRING,,unspecified
opticaldensity,,STRING,,unspecified
pM,,STRING,,unspecified
pg,,STRING,,unspecified
pg/mgcreatinine,,STRING,,unspecified
pg/ml,,STRING,,unspecified
pg/nl,,STRING,,unspecified
pg/ul,,STRING,,unspecified
pl,,STRING,,unspecified
uM,,STRING,,unspecified
ug,,STRING,,unspecified
ug/dl,,STRING,,unspecified
ug/l,,STRING,,unspecified
ug/ml,,STRING,,unspecified
ug/ul,,STRING,,unspecified
uiu/ml,,STRING,,unspecified
ul,,STRING,,unspecified
umol/l,,STRING,,unspecified
units/ml,,STRING,,unspecified
